GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco-report-aggregate/language-framework,com.dan323.expressions.base,Disjunction,0,7,0,0,0,3,0,2,0,2
jacoco-report-aggregate/language-framework,com.dan323.expressions.base,Variable,0,9,0,0,0,4,0,2,0,2
jacoco-report-aggregate/language-framework,com.dan323.expressions.base,Implication,0,7,0,0,0,3,0,2,0,2
jacoco-report-aggregate/language-framework,com.dan323.expressions.base,BinaryOperation,0,51,0,8,0,13,0,8,0,4
jacoco-report-aggregate/language-framework,com.dan323.expressions.base,Negation,0,6,0,0,0,3,0,2,0,2
jacoco-report-aggregate/language-framework,com.dan323.expressions.base,UnaryOperation,0,31,0,4,0,9,0,6,0,4
jacoco-report-aggregate/language-framework,com.dan323.expressions.base,Conjunction,0,7,0,0,0,3,0,2,0,2
jacoco-report-aggregate/language-implementation.classic,com.dan323.expressions.classical.exceptions,InvalidMapValuesException,3,4,0,0,2,2,1,1,1,1
jacoco-report-aggregate/language-implementation.classic,com.dan323.expressions.classical,ConstantClassic,0,40,0,0,0,9,0,6,0,6
jacoco-report-aggregate/language-implementation.classic,com.dan323.expressions.classical,VariableClassic,0,51,0,4,0,9,0,6,0,4
jacoco-report-aggregate/language-implementation.classic,com.dan323.expressions.classical,ClassicalParser,0,142,0,9,0,22,0,12,0,6
jacoco-report-aggregate/language-implementation.classic,com.dan323.expressions.classical,DisjunctionClassic,0,67,2,8,0,7,2,7,0,4
jacoco-report-aggregate/language-implementation.classic,com.dan323.expressions.classical,NegationClassic,0,42,0,4,0,7,0,6,0,4
jacoco-report-aggregate/language-implementation.classic,com.dan323.expressions.classical,ConjunctionClassic,2,65,2,8,0,7,2,7,0,4
jacoco-report-aggregate/language-implementation.classic,com.dan323.expressions.classical,ImplicationClassic,2,65,2,8,0,7,2,7,0,4
jacoco-report-aggregate/implementation.modal,com.dan323.expressions.relation,Equals,41,39,4,6,2,5,5,3,1,2
jacoco-report-aggregate/implementation.modal,com.dan323.expressions.relation,RelationOperation,11,18,0,0,2,7,2,3,2,3
jacoco-report-aggregate/implementation.modal,com.dan323.expressions.relation,LessEqual,19,30,1,5,1,5,2,4,1,2
jacoco-report-aggregate/implementation.modal,com.dan323.expressions.modal,ConstantModal,0,55,0,4,0,12,0,9,0,7
