GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco-report-aggregate/language-framework,com.dan323.expresions.base,BinaryOperation,0,101,1,15,0,18,1,14,0,7
jacoco-report-aggregate/language-framework,com.dan323.expresions.base,Negation,0,6,0,0,0,3,0,2,0,2
jacoco-report-aggregate/language-framework,com.dan323.expresions.base,Variable,0,34,1,5,0,7,1,7,0,5
jacoco-report-aggregate/language-framework,com.dan323.expresions.base,LogicOperation,0,14,0,4,0,3,0,3,0,1
jacoco-report-aggregate/language-framework,com.dan323.expresions.base,Constant,0,2,0,0,0,1,0,1,0,1
jacoco-report-aggregate/language-framework,com.dan323.expresions.base,Conjunction,0,7,0,0,0,3,0,2,0,2
jacoco-report-aggregate/language-framework,com.dan323.expresions.base,Implication,0,7,0,0,0,3,0,2,0,2
jacoco-report-aggregate/language-framework,com.dan323.expresions.base,Disjunction,0,7,0,0,0,3,0,2,0,2
jacoco-report-aggregate/language-framework,com.dan323.expresions.base,UnaryOperation,0,64,1,9,0,11,1,10,0,6
jacoco-report-aggregate/language-implementation.classic,com.dan323.expresions.classical,NegationClassic,0,32,0,2,0,5,0,6,0,5
jacoco-report-aggregate/language-implementation.classic,com.dan323.expresions.classical,ImplicationClassic,2,37,2,2,0,5,2,5,0,5
jacoco-report-aggregate/language-implementation.classic,com.dan323.expresions.classical,ConstantClassic,0,49,0,0,0,9,0,6,0,6
jacoco-report-aggregate/language-implementation.classic,com.dan323.expresions.classical,ClassicalLogicOperation,0,31,0,4,0,6,0,5,0,3
jacoco-report-aggregate/language-implementation.classic,com.dan323.expresions.classical,DisjunctionClassic,0,39,1,3,0,5,1,6,0,5
jacoco-report-aggregate/language-implementation.classic,com.dan323.expresions.classical,VariableClassic,0,42,0,2,0,7,0,6,0,5
jacoco-report-aggregate/language-implementation.classic,com.dan323.expresions.classical,ConjunctionClassic,2,37,1,3,0,5,1,6,0,5
jacoco-report-aggregate/language-implementation.classic,com.dan323.expresions.classical.exceptions,InvalidMapValuesException,3,4,0,0,2,2,1,1,1,1
jacoco-report-aggregate/implementation.modal,com.dan323.expresions.relation,Equals,38,46,4,8,1,8,5,4,1,2
jacoco-report-aggregate/implementation.modal,com.dan323.expresions.relation,LessEqual,19,32,1,7,1,6,2,5,1,2
jacoco-report-aggregate/implementation.modal,com.dan323.expresions.relation,RelationOperation,10,44,0,4,1,12,1,7,1,5
jacoco-report-aggregate/implementation.modal,com.dan323.expresions.modal,ModalLogicalOperation,0,31,0,4,0,6,0,5,0,3
jacoco-report-aggregate/implementation.modal,com.dan323.expresions.modal,ImplicationModal,0,30,0,0,0,6,0,5,0,5
jacoco-report-aggregate/implementation.modal,com.dan323.expresions.modal,ConjunctionModal,0,30,0,0,0,6,0,5,0,5
jacoco-report-aggregate/implementation.modal,com.dan323.expresions.modal,Sometime,0,24,0,0,0,5,0,5,0,5
jacoco-report-aggregate/implementation.modal,com.dan323.expresions.modal,VariableModal,0,22,0,0,0,4,0,4,0,4
jacoco-report-aggregate/implementation.modal,com.dan323.expresions.modal,NegationModal,0,27,0,0,0,6,0,5,0,5
jacoco-report-aggregate/implementation.modal,com.dan323.expresions.modal,DisjunctionModal,0,30,0,0,0,6,0,5,0,5
jacoco-report-aggregate/implementation.modal,com.dan323.expresions.modal,ConstantModal,0,51,0,4,0,10,0,9,0,7
jacoco-report-aggregate/implementation.modal,com.dan323.expresions.modal,Always,0,24,0,0,0,5,0,5,0,5
jacoco-report-aggregate/implementation.modal,com.dan323.expresions.modal,Until,0,25,0,0,0,5,0,5,0,5
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalBoxI,107,90,4,8,12,18,7,7,5,3
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalAndE2,0,33,0,0,0,5,0,4,0,4
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalDeductionTheorem,0,72,1,5,0,10,1,6,0,4
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalAssume,0,46,0,2,0,10,0,6,0,5
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalOrI1,0,30,0,0,0,5,0,3,0,3
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalOrI2,0,36,0,0,0,5,0,4,0,4
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalAndE1,0,33,0,0,0,5,0,4,0,4
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalDiaE,0,313,5,27,0,45,5,17,0,6
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalFI,0,69,0,8,0,8,0,11,0,7
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalDiaI,40,148,9,5,2,16,8,6,2,5
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalFE,0,50,0,4,0,7,0,7,0,5
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalNotI,0,34,0,0,0,5,0,3,0,3
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalModusPonens,0,47,0,4,0,7,0,6,0,4
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalAction,2,61,1,5,1,7,1,4,0,2
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalCopy,0,33,0,0,0,5,0,4,0,4
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalOrE,0,50,0,2,0,8,0,5,0,4
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalAndI,0,45,0,4,0,5,0,6,0,4
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalNotE,0,28,0,0,0,4,0,3,0,3
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal,ModalBoxE,27,135,9,9,2,20,8,8,2,5
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal.proof,ProofStepModal,3,31,1,1,1,9,1,4,0,4
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal.proof,ModalNaturalDeduction,39,95,14,10,5,17,10,7,2,3
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal.relational,RelationalAction,16,0,0,0,3,0,3,0,3,0
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal.relational,Transitive,107,0,4,0,13,0,5,0,3,0
jacoco-report-aggregate/implementation.deduction.modal,com.dan323.proof.modal.relational,Reflexive,49,0,0,0,7,0,3,0,3,0
jacoco-report-aggregate/framework.deduction,com.dan323.proof.generic,Action,0,105,1,7,0,12,1,14,0,11
jacoco-report-aggregate/framework.deduction,com.dan323.proof.generic,DeductionTheorem,1,107,2,4,0,17,2,6,0,5
jacoco-report-aggregate/framework.deduction,com.dan323.proof.generic,RuleUtils,6,81,4,12,2,9,5,9,1,5
jacoco-report-aggregate/framework.deduction,com.dan323.proof.generic,OrI,0,120,4,6,0,18,4,8,0,7
jacoco-report-aggregate/framework.deduction,com.dan323.proof.generic,AndE,1,95,3,7,0,15,3,9,0,7
